Month,State,Average_order_Value_by_State_n_Month
2017-03-01 00:00:00 UTC,RJ,148.6
2018-03-01 00:00:00 UTC,SC,148.2
2018-02-01 00:00:00 UTC,RO,148.1
2018-09-01 00:00:00 UTC,CE,148
2018-01-01 00:00:00 UTC,MT,147.9
2018-06-01 00:00:00 UTC,ES,147.8
2017-06-01 00:00:00 UTC,RO,147.8
2018-01-01 00:00:00 UTC,MG,147.8
2018-01-01 00:00:00 UTC,RN,147.7
2018-05-01 00:00:00 UTC,ES,147.7
2017-08-01 00:00:00 UTC,GO,147.6
2018-02-01 00:00:00 UTC,SC,147.4
2017-06-01 00:00:00 UTC,PA,147.1
2018-03-01 00:00:00 UTC,PR,147
2018-03-01 00:00:00 UTC,MS,146.8
2018-04-01 00:00:00 UTC,ES,146.5
2017-02-01 00:00:00 UTC,BA,146.2
2017-09-01 00:00:00 UTC,SP,146.1
2018-02-01 00:00:00 UTC,RJ,145.9
2018-03-01 00:00:00 UTC,MG,145.8
2017-02-01 00:00:00 UTC,RN,145.3
2018-06-01 00:00:00 UTC,SP,145.1
2017-08-01 00:00:00 UTC,RN,145.1
2017-08-01 00:00:00 UTC,PE,145.1
2018-04-01 00:00:00 UTC,SP,145
2018-02-01 00:00:00 UTC,DF,144.6
2018-04-01 00:00:00 UTC,MS,144.5
2017-04-01 00:00:00 UTC,RS,144.4
2017-04-01 00:00:00 UTC,SP,144
2017-02-01 00:00:00 UTC,SP,143.9
2018-08-01 00:00:00 UTC,AM,143.8
2017-11-01 00:00:00 UTC,SC,143.4
2017-05-01 00:00:00 UTC,RO,143.4
2017-03-01 00:00:00 UTC,PR,143.4
2017-05-01 00:00:00 UTC,MA,143.3
2018-05-01 00:00:00 UTC,MG,143.3
2018-08-01 00:00:00 UTC,PR,143.3
2017-07-01 00:00:00 UTC,ES,143.2
2016-10-01 00:00:00 UTC,PR,143
2017-08-01 00:00:00 UTC,PR,142.8
2017-07-01 00:00:00 UTC,RN,142.5
2018-03-01 00:00:00 UTC,RO,142
2018-05-01 00:00:00 UTC,SP,141.7
2017-02-01 00:00:00 UTC,RJ,141.5
2018-04-01 00:00:00 UTC,GO,141.5
2017-11-01 00:00:00 UTC,ES,141.4
2017-07-01 00:00:00 UTC,RJ,141.2
2017-04-01 00:00:00 UTC,TO,140.9
2017-09-01 00:00:00 UTC,RS,140.8
2017-06-01 00:00:00 UTC,MG,140.5
2017-06-01 00:00:00 UTC,AM,140.2
2016-10-01 00:00:00 UTC,MG,139.4
2017-12-01 00:00:00 UTC,MS,138.9
2017-10-01 00:00:00 UTC,SP,138.9
2017-01-01 00:00:00 UTC,RN,138.8
2017-03-01 00:00:00 UTC,SP,138.8
2018-08-01 00:00:00 UTC,SP,138.7
2018-01-01 00:00:00 UTC,GO,138.4
2018-02-01 00:00:00 UTC,GO,138.4
2017-05-01 00:00:00 UTC,ES,138.2
2017-12-01 00:00:00 UTC,GO,138
2018-01-01 00:00:00 UTC,PI,137.6
2018-03-01 00:00:00 UTC,SP,137.6
2017-08-01 00:00:00 UTC,MS,137.5
2017-02-01 00:00:00 UTC,MG,137.4
2017-08-01 00:00:00 UTC,MG,137.3
2018-01-01 00:00:00 UTC,PR,136.9
2017-08-01 00:00:00 UTC,SC,136.8
2017-06-01 00:00:00 UTC,SP,136.7
2017-06-01 00:00:00 UTC,PR,136.6
2017-07-01 00:00:00 UTC,SC,136.5
2017-03-01 00:00:00 UTC,TO,135.9
2018-09-01 00:00:00 UTC,RJ,135.7
2017-08-01 00:00:00 UTC,RS,135.6
2018-01-01 00:00:00 UTC,MS,135.6
